,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,condition,Q22,happy,Q3,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,redist1,redist2,redist3,redist4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyID
R_2rwNXSzRsn3mnDv,Default Response Set,Anonymous,,,142.58.41.232,0,17/01/2027 10:28,17/01/2027 11:16,1,1,2,1,50,1,1,1,1,1,3,2,2,4,4,4,4,4,1,6,7,4,2,5,2,3,4,2,6,4,4,2,1,6,3,1,4,2,4,4,2,2,4,4,2,4,2,2,1,6,6,5,5,2,2,5,5,6,4,3,3,3,5,1,1,1,4,5,1,5,3,1,2,1,1,4,5,5,4,1,4,3,4,2,19,Caucasion ,Criminology ,1,3,2,4,1
R_1JOsKqONXFtOsuX,Default Response Set,Anonymous,,,142.58.41.232,0,17/01/2027 11:21,17/01/2027 11:57,1,2,2,1,48,1,2,2,4,2,4,3,3,3,3,4,4,4,1,4,5,3,2,5,4,4,3,4,,4,4,3,4,5,4,4,4,4,4,4,3,4,4,4,3,5,4,3,3,4,5,5,5,4,4,4,4,4,3,2,2,2,4,3,3,3,4,4,3,4,3,4,3,3,2,3,3,3,4,2,4,2,3,1,18,Chinese,Cognitive Science,10,8,8,8,4
R_1gductfbxijQVTi,Default Response Set,Anonymous,,,142.58.41.232,0,17/01/2027 12:24,17/01/2027 12:34,1,3,2,1,80,1,2,2,4,2,4,4,4,4,4,4,4,4,1,6,6,4,5,4,4,3,3,2,6,2,5,1,3,5,4,6,3,3,4,5,3,1,4,3,6,5,4,5,2,7,6,6,6,3,2,1,1,5,4,4,4,4,5,2,2,3,5,5,5,5,2,1,4,4,1,4,2,5,5,4,4,3,5,2,24,Arab,Biomedical Physiology,1,8,8,8,4
R_9GN5JnCETApGjPH,Default Response Set,Anonymous,,,142.58.41.232,0,17/01/2027 12:49,17/01/2027 12:58,1,4,2,1,83,1,1,2,4,3,3,3,3,4,4,3,4,4,1,5,6,3,3,6,3,3,3,2,5,5,3,3,2,6,3,5,5,3,5,4,4,3,4,2,2,5,2,5,3,5,5,7,5,3,2,1,1,5,4,4,4,3,4,4,2,5,3,4,4,3,2,1,2,4,2,3,5,3,5,3,3,3,4,1,18,Canadian Born Chinese,Criminology,6,2,4,4,1
R_3J9iYe578EbuBQt,Default Response Set,Anonymous,,,142.58.41.202,0,17/01/2027 13:18,17/01/2027 13:46,1,5,1,1,90,1,3,3,4,4,3,3,3,3,4,4,4,4,1,4,4,4,3,4,3,4,4,3,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,5,4,4,4,5,4,5,5,5,5,4,3,3,4,4,4,3,3,3,4,3,2,3,4,3,3,3,,3,3,3,2,2,4,4,3,2,3,3,3,2,31,filipino,psychology and education (minor-minor),11,8,4,4,2
R_1GJ11JhW54zbxRz,Default Response Set,Anonymous,,,142.58.41.202,0,17/01/2027 13:49,17/01/2027 14:22,1,6,1,1,60,1,4,1,4,3,3,3,4,4,4,4,5,5,1,4,5,3,2,4,2,2,3,2,7,6,4,3,1,6,1,4,6,1,6,6,2,1,2,2,1,4,5,3,1,6,6,7,7,4,2,2,2,5,4,2,2,2,5,1,1,2,4,5,3,4,3,4,2,3,1,3,4,5,5,3,4,3,4,2,19,Canadian,Psychology,15,5,4,4,4
R_8oaWhb9Kx3TSwBX,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2002 9:40,17/02/2002 10:24,1,7,2,1,61,1,2,1,2,1,3,4,4,5,4,4,4,4,1,6,6,3,2,6,2,3,4,2,6,3,2,2,2,6,2,3,3,2,4,6,5,3,3,2,2,3,2,5,1,5,5,6,6,4,2,3,3,6,4,3,3,2,5,3,2,4,5,5,3,4,3,2,3,4,1,3,5,4,4,2,4,3,4,2,18,Japanese,Psychology/Crim,2,2,3,3,1
R_3oX7liScDfpOCNi,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2002 10:25,17/02/2002 10:48,1,8,2,1,35,1,1,1,1,1,5,5,4,5,4,4,4,4,1,6,6,3,2,4,1,3,6,1,6,4,3,1,1,5,2,3,4,2,2,4,2,1,2,1,2,5,3,5,1,6,7,7,6,1,1,1,1,6,4,4,3,2,5,2,2,4,4,5,4,4,2,1,5,4,1,3,2,3,2,2,3,1,2,3,20,Black & White,Criminology-Sociology Joint Major,14,9,9,9,2
R_sMEaKQclZ5aOcNj,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2002 11:03,17/02/2002 11:12,1,9,1,1,40,1,4,3,4,5,4,5,5,4,,4,3,5,1,6,5,5,2,6,4,3,5,2,5,2,2,4,2,4,3,2,2,1,2,4,2,2,6,2,2,6,5,5,2,4,6,7,7,3,2,2,2,5,4,4,3,3,4,2,1,1,4,4,4,4,1,2,3,5,1,1,5,4,4,5,2,5,4,2,18,Canadian,Psychology,15,6,5,6,1
R_3CNjHFsJMozpmMx,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2002 11:15,17/02/2002 11:43,1,10,1,1,51,1,2,2,2,3,3,3,2,2,2,2,3,2,1,5,5,3,5,5,5,5,2,3,3,2,2,2,2,2,5,5,5,3,2,3,4,5,5,4,2,5,3,5,2,4,3,5,5,5,2,3,3,5,3,3,3,3,5,4,2,2,4,3,4,3,3,1,3,4,2,4,4,3,4,1,2,2,4,2,19,caucasian,political science,14,2,2,2,1
R_RlUhod5zNpTeRIR,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2002 11:45,17/02/2002 12:33,1,11,1,1,65,1,2,3,4,3,4,4,5,3,4,4,4,4,1,6,5,2,3,5,4,3,2,1,5,2,2,2,2,6,3,4,3,2,4,6,3,2,5,2,3,5,3,5,3,6,7,7,5,2,2,3,5,3,4,4,3,2,5,4,4,4,5,5,1,5,2,4,2,3,1,3,4,5,3,1,5,1,5,2,19,Vietnamese,Psychology ,6,9,9,9,4
R_1NtwLGAxfhYk0Gh,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2003 10:22,17/02/2003 12:06,1,12,2,1,50,1,4,3,2,4,4,4,3,4,4,3,3,3,1,4,5,4,5,4,2,3,4,2,5,2,4,4,2,4,2,6,2,4,2,4,4,4,4,4,5,4,4,5,2,5,4,5,6,4,3,1,1,4,4,3,3,3,5,3,1,4,3,4,5,4,4,2,3,5,1,3,4,3,5,4,3,4,4,2,19,Ismaili Muslim,Kinesiology,1,8,4,8,2
R_1mF9CwGGsCcSBhE,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2003 12:08,17/02/2003 12:25,1,13,1,1,50,1,3,2,2,3,4,3,4,4,3,4,4,4,1,6,4,5,2,6,3,4,3,4,4,3,4,4,5,5,4,3,5,5,5,4,5,3,3,4,3,3,5,5,3,5,4,4,3,4,5,3,3,4,3,3,2,1,4,3,2,3,2,4,5,4,4,2,4,5,1,3,4,4,5,4,2,3,3,2,18,Chinese,Economics,7,3,3,3,3
R_piyDJD6yx25G1dD,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2003 12:33,17/02/2003 12:42,1,14,2,1,0,1,1,1,2,2,5,4,3,5,5,3,3,3,1,6,7,2,3,5,3,3,5,2,7,2,4,3,1,6,7,6,4,1,1,4,5,1,5,1,1,2,2,2,1,6,6,7,7,1,1,2,1,7,4,4,3,2,5,1,1,4,5,5,3,3,1,1,1,3,1,3,5,5,3,2,5,5,5,2,19,Canadian,Health Sciences,4,8,8,8,1
R_3CVszNmPFgJ93Mt,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 9:40,17/02/2009 10:30,1,15,2,1,59,1,1,1,2,4,3,3,4,4,5,4,4,4,1,3,2,5,3,7,3,1,5,2,4,3,2,2,1,5,3,4,4,2,5,1,4,3,4,2,4,,5,2,2,7,7,7,6,4,1,4,3,4,4,3,4,3,5,4,1,5,3,4,5,4,2,1,3,5,1,2,4,5,4,5,4,4,3,2,19,Indian,undelared ,,2,2,2,
R_3FJnmHzDcUPxHVW,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 10:31,17/02/2009 10:52,1,16,1,1,60,1,2,2,3,2,2,2,3,3,3,2,2,2,1,5,6,4,3,5,3,3,4,4,4,3,4,3,3,3,3,4,4,3,3,5,5,3,5,2,3,4,4,5,5,5,5,5,5,5,3,3,3,5,3,3,2,2,4,2,3,3,4,4,4,4,3,3,2,2,2,4,4,4,3,2,4,2,4,2,18,Chinese,Behavioural Neuroscience,12,3,2,3,1
R_2PAsmRVRrzVGQ9t,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 10:52,17/02/2009 11:42,1,17,1,1,100,1,2,2,2,2,2,2,3,3,3,3,3,3,1,5,6,3,4,4,3,3,3,2,4,4,4,3,3,5,3,3,5,2,4,4,3,5,6,4,5,4,4,5,6,6,7,7,7,4,2,2,3,4,4,4,4,4,5,2,2,3,4,5,3,4,4,1,3,4,1,3,5,5,5,3,3,4,4,2,18,Caucasian,Psychology,5,8,8,8,2
R_RaCflIZQ5V0y4hj,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 11:44,17/02/2009 12:22,1,18,1,1,29,1,2,2,4,2,1,1,2,2,1,3,3,3,1,7,6,7,5,7,6,5,5,2,5,3,4,4,1,3,6,3,1,4,5,4,6,3,6,1,1,2,7,7,3,6,6,5,7,6,1,1,1,6,4,4,2,2,3,2,1,4,2,2,,4,1,1,1,2,1,,,2,5,2,3,3,4,2,22,han,psychology,15,4,4,4,2
R_yjxXsgqmlhnd68x,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 12:25,17/02/2009 12:54,1,19,2,1,40,1,2,2,2,2,5,5,3,4,4,5,5,5,1,7,4,1,7,5,1,1,1,1,5,1,1,1,1,1,4,4,1,2,1,4,1,4,3,1,2,4,2,5,1,5,7,7,6,4,1,5,5,4,4,3,3,2,5,1,1,2,5,5,4,5,2,1,1,1,1,3,5,5,5,3,5,3,5,1,21,Asian,"Linguistics Major, Psychology Minor",2,8,8,8,4
R_2OUvkUWSGipsUHG,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 14:33,17/02/2009 14:43,1,20,1,1,85,1,2,2,2,2,3,3,3,4,3,3,3,3,1,4,5,3,5,5,3,3,2,3,6,1,2,4,2,3,4,6,3,4,2,4,5,2,5,1,3,4,1,6,1,5,4,5,5,4,2,3,3,4,3,3,3,3,4,2,2,3,3,4,3,4,3,2,2,4,2,2,3,4,4,3,3,3,4,2,18,Asian,First Year -- N/A,5,4,4,8,4
R_3irlDymELR39NSx,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2009 15:12,17/02/2009 15:19,1,21,1,1,75,1,3,3,4,4,3,3,3,4,4,3,4,4,1,5,5,4,5,4,5,4,2,4,4,5,4,2,4,5,5,4,4,4,,5,4,3,5,4,6,4,4,5,4,4,5,7,6,5,3,2,2,4,4,3,4,3,4,1,1,2,5,1,3,3,3,2,3,2,1,3,3,2,2,1,5,2,5,1,18,chinese,criminology,10,2,3,3,1
R_PG0xFf5V9Rlzyil,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 11:50,17/02/2010 12:28,1,22,2,1,60,1,3,2,4,4,4,3,2,4,3,3,4,3,1,2,3,5,2,5,2,3,6,3,3,5,2,2,2,5,3,2,3,2,2,5,3,2,5,2,3,6,5,3,2,3,5,6,5,3,2,1,1,6,4,3,3,2,2,1,5,3,5,4,1,4,4,5,1,2,2,4,1,5,1,1,4,1,3,2,19,Asian,Communications,,2,3,3,4
R_2YMlorMT6lDETvr,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 12:30,17/02/2010 12:50,1,23,2,1,20,1,1,1,3,1,2,2,3,4,3,4,4,4,1,4,4,3,2,5,3,2,3,1,6,2,4,2,1,6,3,6,4,2,2,3,2,1,3,2,2,4,2,3,1,6,6,7,6,4,2,1,1,5,1,3,3,2,4,1,1,3,4,5,4,5,4,1,2,4,1,3,5,5,4,1,4,2,5,2,21,cauasian,kinesiology,8,2,2,3,1
R_31S3d7GQhk1gVVf,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 12:53,17/02/2010 13:19,1,24,1,1,45,1,2,2,4,2,3,3,4,4,5,4,4,4,1,6,4,5,1,5,3,5,5,1,3,4,4,3,4,6,4,3,5,1,4,5,4,1,6,4,2,5,4,5,2,7,7,7,7,2,1,1,1,7,4,4,4,4,5,3,1,2,5,5,3,4,3,1,4,2,1,2,5,4,5,1,5,1,4,2,20,Persian,Environmental Science,1,8,8,8,1
R_10vHSNMTXxK7P1e,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 13:21,17/02/2010 13:43,1,25,2,1,80,1,2,3,5,3,3,4,4,4,5,5,5,5,1,6,4,6,3,5,5,3,6,3,5,4,3,3,4,5,3,3,5,4,5,5,3,3,5,3,3,5,5,5,3,6,6,7,6,3,2,2,2,6,4,4,4,4,5,2,2,4,4,3,4,5,2,2,2,3,2,4,4,5,5,2,5,3,4,1,24,South Asian,Business,13,3,3,3,1
R_bwLRbH2dY1yXGoN,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 13:44,17/02/2010 14:15,1,26,1,1,68,1,2,2,4,4,5,4,5,5,5,3,4,4,1,4,6,5,2,7,5,4,5,1,3,4,5,3,2,1,5,4,5,2,7,5,4,1,3,1,1,3,4,5,1,5,7,7,7,1,1,3,5,6,4,3,3,3,5,1,2,3,5,5,3,5,3,1,4,1,1,4,5,5,5,1,5,5,5,2,18,indian,psychology,8,8,8,8,1
R_RWuSIE7dgfLNXCF,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 14:18,17/02/2010 15:16,1,27,2,1,32,1,2,1,2,1,3,5,3,4,5,4,4,4,1,7,6,5,2,5,5,3,6,1,6,4,4,1,1,6,3,5,5,2,3,6,5,1,2,3,1,4,5,5,1,7,7,6,6,2,1,2,1,6,4,3,3,3,5,1,2,2,4,2,4,5,4,2,3,1,2,4,4,5,3,1,3,2,4,1,26,Caucasian Canadian,Psychology,2,1,1,2,1
R_2VPdF39KcKgZeg4,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2010 15:19,17/02/2010 15:51,1,28,1,1,50,1,2,2,2,1,3,2,3,4,4,3,3,3,1,4,3,5,3,5,3,3,4,4,5,4,4,2,4,6,4,3,5,3,3,6,2,4,5,2,3,4,5,4,5,4,5,6,5,4,3,2,2,5,3,3,3,3,4,1,1,5,4,2,3,3,3,3,4,2,2,4,4,3,2,2,2,3,3,2,18,,criminology,10,8,8,8,1
