V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,pid,pcode,Q22,happy,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,obese1,obese2,obese3,obese4,obese5,obese6,obese7,obese8,obese9,obese10,obese11,obese12,obese13,obese14,obese15,Q89,wealthatt1,wealthatt2,wealthatt3,wealthatt4,finsit1,finsit2,finsit3,finsit4,finsit5,finsit6,finsit7,finsit8,finsit9,finsit10,finsit11,finsit12,finsit13,finsit14,finsit15,crime1,crime2,crime3,crime4,crime5,crime6,crime7,crime8,crime9,crime10,crime11,crime12,causeineq1,causeineq2,causeineq3,causeineq4,causeineq5,causeineq6,causeineq7,causeineq8,causeineq9,causeineq10,causeineq11,causeineq12,causal1,causal2,causal3,causal4,causal5,causal6,redist1,redist2,redist3,redist4,merit1,merit2,merit3,merit4,merit5,merit6,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyid,time
R_1JPJapd1Ty7am84,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 10:07,26/09/2017 11:27,1,1,1,90523,1,10,1,7,4,5,2,5,2,2,6,1,5,4,2,1,1,6,4,6,6,2,4,6,6,6,2,4,1,5,3,7,2,6,6,6,2,2,5,7,5,5,5,2,5,6,4,6,6,6,5,3,6,1,2,3,4,5,7,6,7,6,7,7,7,4,7,3,5,7,6,7,7,7,6,5,7,6,7,3,1,4,4,3,5,,,,,,,,,,,,,5,7,4,4,4,4,4,3,4,4,3,3,2,2,2,2,2,17,White,criminology ,15,4,4,4,1,1
R_3Rq2tHrpbriOpkr,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 11:28,26/09/2017 11:53,1,1,2,83309,1,81,1,5,4,6,1,5,1,2,6,2,5,5,6,2,4,6,1,3,5,1,5,4,5,2,3,2,1,4,4,5,1,6,6,6,2,2,4,4,1,3,1,3,1,3,2,3,2,5,4,6,4,1,3,3,5,5,5,4,4,4,5,5,7,5,5,6,4,5,3,2,3,4,6,4,6,7,6,5,1,3,3,1,4,,,,,,,,,,,,,4,6,4,5,3,3,4,4,3,3,4,4,4,4,3,2,2,20,Punjabi,Criminology ,6,2,1,2,1,1
R_3qmnif3vpAzKGUQ,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 11:54,26/09/2017 12:18,1,1,3,69804,1,85,1,4,1,6,2,5,4,3,5,4,3,5,2,4,4,5,3,1,4,3,6,1,5,4,5,2,1,3,5,6,5,3,5,5,4,2,5,5,4,4,4,1,5,2,5,6,2,5,4,5,5,1,2,2,2,3,7,7,6,7,4,5,6,6,5,4,2,5,4,6,3,6,6,7,7,5,1,4,2,4,7,4,6,,,,,,,,,,,,,6,7,7,4,6,2,4,1,3,1,7,6,2,1,5,3,2,18,Caucasian,Criminology,10,4,4,4,1,1
R_4GAgerVbEtodjBn,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 12:18,26/09/2017 12:46,1,1,4,83586,1,40,1,5,6,5,2,4,3,3,5,2,7,4,4,1,2,2,3,6,4,2,1,5,1,1,4,1,1,4,2,5,1,6,6,5,4,2,6,6,2,2,2,3,6,5,4,6,5,2,2,2,6,1,3,3,4,4,5,7,4,5,3,5,2,4,5,5,6,5,2,3,4,6,6,4,5,4,5,2,2,3,3,1,5,,,,,,,,,,,,,5,6,4,5,4,4,4,3,3,2,6,5,5,2,5,3,2,20,Hispanic/ Caribbean ,Undeclared ,4,2,2,3,1,1
R_2saxp0edzTDpqgJ,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 12:47,26/09/2017 13:23,1,1,5,38589,1,91,1,5,4,5,2,6,1,1,5,1,6,2,4,2,4,5,4,2,5,1,5,5,2,1,4,3,2,4,5,5,2,6,6,6,2,1,6,6,2,2,1,4,2,2,3,4,3,6,6,3,6,1,3,4,3,4,6,6,4,5,5,4,5,5,3,5,4,3,2,2,3,7,1,3,7,7,7,6,4,5,5,1,7,,,,,,,,,,,,,5,5,2,2,5,3,4,4,4,4,5,5,7,2,5,2,2,25,Caucasian,Psychology,4,3,3,3,1,1
R_33rtDpsJdc1XrYO,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 13:24,26/09/2017 13:39,1,2,6,76501,1,60,1,4,4,2,3,2,4,3,2,2,5,2,1,2,2,4,3,3,2,2,2,4,1,2,2,1,3,2,1,2,2,6,6,6,2,1,3,2,1,1,1,4,5,1,2,3,2,6,5,5,1,1,3,4,4,3,5,5,5,6,5,4,5,4,5,6,5,6,7,7,6,4,5,4,5,4,6,5,2,6,7,2,5,,,,,,,,,,,,,2,5,4,3,3,4,4,4,3,3,5,4,4,3,5,4,2,19,Chinese,Science,3,8,8,8,1,1
R_3kudlibfupEL5QP,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 13:40,26/09/2017 14:16,1,1,7,66715,1,23,1,7,6,4,2,5,3,5,2,2,7,2,5,4,1,6,1,6,2,3,2,7,3,1,2,2,2,3,4,5,1,6,6,6,2,1,5,3,2,3,2,4,1,2,5,5,3,4,4,4,5,1,1,2,4,4,5,5,5,3,5,7,7,4,5,5,4,7,1,5,3,5,3,5,6,6,6,5,2,2,3,1,4,5,4,4,5,5,4,5,2,3,3,3,3,2,4,4,5,2,3,4,4,4,3,3,5,2,1,1,1,2,21,First Nations (Nlaka'pamux) and Miqmac,Molecular Biology and Biochemistry,10,1,1,1,4,1
R_21aoFmAPX5ByESP,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 14:17,26/09/2017 14:42,1,2,8,72519,1,40,1,5,5,6,2,6,2,4,6,1,5,3,4,4,2,7,4,4,4,2,4,6,4,2,4,2,1,4,4,4,2,6,6,6,2,1,5,5,4,2,4,4,5,4,4,5,4,4,4,3,6,1,3,3,4,3,6,6,5,3,6,4,6,4,3,6,5,5,4,6,5,7,6,6,7,6,6,5,2,1,3,1,6,4,5,5,5,5,4,5,4,4,5,5,5,4,4,4,7,4,5,4,4,4,4,2,2,4,4,2,2,2,20,"Filipino, Canadian",Education,10,6,6,8,2,1
R_1r9xJjPG3D1C3Dl,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 14:43,26/09/2017 15:28,1,1,9,66177,1,50,1,4,4,4,4,4,6,4,4,4,5,3,4,4,3,4,3,4,4,3,4,4,3,1,4,2,3,3,2,5,3,4,4,4,4,4,4,5,4,5,3,4,4,5,4,5,5,4,4,4,5,1,2,3,3,4,5,6,7,5,3,4,3,3,4,2,5,5,1,1,3,5,5,5,5,4,6,2,3,4,3,4,5,3,1,3,3,5,3,1,5,5,5,5,4,5,4,4,4,3,5,3,1,2,1,5,5,4,3,5,4,1,20,Asian,Biological Physics,1,8,8,8,4,1
R_2e8O34iig8tAWCk,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 15:33,26/09/2017 16:30,1,1,10,56501,1,60,1,6,4,3,5,2,3,2,2,4,6,2,4,4,2,6,3,4,3,2,4,5,2,4,3,4,6,5,6,6,2,7,6,6,4,2,4,3,2,5,1,3,2,4,3,5,5,6,4,4,6,1,4,4,4,3,6,7,5,4,4,5,4,3,3,7,6,2,1,2,2,6,6,5,5,5,5,2,2,4,5,2,5,3,2,4,5,3,3,4,3,4,4,3,4,4,6,4,4,1,3,4,3,3,2,5,5,6,6,5,6,2,20,Asian,Psychology,10,3,2,4,1,1
