V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,placeholder1,placeholder1,pcode,Q22,happy,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,obese1,obese2,obese3,obese4,obese5,obese6,obese7,obese8,obese9,obese10,obese11,obese12,obese13,obese14,obese15,Q89,wealthatt1,wealthatt2,wealthatt3,wealthatt4,finsit1,finsit2,finsit3,finsit4,finsit5,finsit6,finsit7,finsit8,finsit9,finsit10,finsit11,finsit12,finsit13,finsit14,finsit15,crime1,crime2,crime3,crime4,crime5,crime6,crime7,crime8,crime9,crime10,crime11,crime12,causeineq1,causeineq2,causeineq3,causeineq4,causeineq5,causeineq6,causeineq7,causeineq8,causeineq9,causeineq10,causeineq11,causeineq12,causal1,causal2,causal3,causal4,causal5,causal6,redist1,redist2,redist3,redist4,merit1,merit2,merit3,merit4,merit5,merit6,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyid,time
R_002izGJKZ3zfpuh,Default Response Set,Anonymous,,,142.58.218.185,0,2017-09-27 10:22,2017-09-27 10:34,1,,,38589,1,92,1,4,4,3,3,3,2,2,3,1,5,2,4,2,2,4,4,2,4,6,4,5,2,1,3,2,2,4,3,5,2,6,6,6,2,2,6,2,1,2,1,5,2,1,1,4,4,6,5,3,5,1,4,4,3,3,6,6,5,1,6,4,5,5,2,6,5,4,1,2,1,6,2,2,2,6,6,4,3,1,3,1,5,3,5,5,3,3,3,4,2,2,3,4,4,4,5,4,3,3,3,4,4,2,2,5,5,7,2,5,2,2,25,Caucasian,Psychology,4,2,2,2,1,2
R_VI7AN5QrSfuj9jH,Default Response Set,Anonymous,,,142.58.80.195,0,2017-09-27 12:13,2017-09-27 12:23,1,,,69804,1,80,1,5,3,6,2,5,4,4,5,3,3,5,4,3,5,5,4,1,5,3,6,2,5,4,6,2,2,5,5,5,5,4,4,4,4,3,5,5,3,2,3,5,5,5,3,5,5,6,6,5,3,1,2,3,3,4,7,7,7,7,5,7,5,4,6,3,6,5,2,6,5,6,7,7,7,2,2,4,3,7,6,5,6,4,5,5,2,3,4,4,3,4,5,5,2,7,7,5,3,5,3,4,1,3,1,7,6,2,1,6,3,2,18,Caucasian,Criminology,10,4,4,4,1,2
R_1pywSg1Hr2BHl9b,Default Response Set,Anonymous,,,207.23.192.251,0,2017-09-27 13:28,2017-09-27 13:44,1,,,66715,1,73,1,7,6,4,2,4,3,3,4,2,6,2,6,4,1,5,2,5,2,2,2,7,3,2,2,2,2,3,4,5,1,5,7,6,2,1,5,3,2,3,1,5,2,2,5,5,2,6,5,5,5,1,2,2,4,5,4,4,5,3,5,7,7,5,4,6,5,7,2,4,5,5,4,5,6,6,6,5,2,2,2,1,5,5,4,5,4,5,4,4,3,3,3,3,3,5,4,4,3,2,3,4,4,4,4,5,4,1,1,2,1,2,21,First Nations (Nlaka'pamux) and Miqmac,Molecular Biology and Biochemistry,10,1,1,1,4,2
R_2QGkMIHaPfNTO5t,Default Response Set,Anonymous,,,207.23.222.164,0,2017-09-27 15:43,2017-09-27 15:54,1,,,76501,1,50,1,4,5,2,3,4,3,3,3,2,5,3,2,2,3,5,2,4,3,2,3,4,3,3,4,2,2,5,2,3,2,5,5,5,3,1,2,2,2,2,2,5,2,2,4,3,2,5,5,6,2,1,2,4,5,4,5,4,5,5,6,4,5,5,5,6,5,7,7,7,5,4,4,5,4,4,5,3,2,7,7,3,4,5,4,4,5,3,4,4,3,3,3,3,4,2,3,3,3,2,4,4,4,2,2,4,4,3,2,4,4,2,19,Chinese,Science,3,8,8,8,4,2
R_2bOCNs5ByJm2Zuh,Default Response Set,Anonymous,,,142.58.132.19,0,2017-09-27 17:08,2017-09-27 17:17,1,,,95837,1,30,1,4,4,2,2,6,2,2,5,2,5,5,2,2,4,6,3,3,4,2,5,6,3,3,5,2,2,5,5,2,2,4,4,3,2,3,5,5,2,4,2,5,4,3,2,6,5,5,5,5,5,1,4,4,4,3,5,2,4,4,5,2,5,5,3,3,4,6,5,4,6,5,4,6,4,5,4,5,3,4,5,4,3,3,3,4,3,4,3,2,3,3,4,3,4,4,6,6,3,5,5,3,3,2,2,5,4,2,2,4,3,1,22,,economic,,3,3,4,1,2
R_BE2hz1bOt8Ijo2d,Default Response Set,Anonymous,,,69.172.152.13,0,2017-09-27 21:15,2017-09-27 21:35,1,,,66177,1,50,1,4,4,3,4,4,7,4,3,4,5,2,4,4,3,4,4,4,4,4,5,4,3,1,5,3,4,4,4,5,4,4,4,4,4,4,5,5,4,4,3,4,4,5,5,5,4,4,4,4,4,1,3,3,3,4,5,7,7,6,4,4,5,4,4,4,6,4,1,1,3,5,4,5,5,4,5,4,4,4,4,3,5,3,3,3,3,4,3,3,5,5,5,5,4,5,5,5,4,4,4,3,2,2,2,5,5,4,3,5,3,1,20,Asian,Biological Physics,1,8,8,8,4,2
R_1r0b5YO0h2wJCAW,Default Response Set,Anonymous,,,70.71.194.231,0,2017-09-27 23:07,2017-09-27 23:19,1,,,90523,1,30,1,6,6,5,2,6,2,2,6,3,6,3,2,1,1,6,2,6,4,2,4,6,4,6,5,3,1,5,5,6,2,6,6,5,2,2,6,6,5,5,5,2,5,6,5,6,6,5,5,2,6,1,3,4,4,5,6,4,6,6,6,7,7,4,6,5,6,7,7,6,6,6,6,6,6,6,7,4,2,4,3,3,5,5,4,5,5,4,4,3,4,4,4,3,4,4,7,4,6,3,4,4,3,4,3,4,4,3,2,3,3,2,17,white,criminology ,15,4,4,4,1,2
R_2QljVR76mj5urdw,Default Response Set,Anonymous,,,207.6.70.74,0,2017-09-27 23:18,2017-09-27 23:36,1,,,83309,1,83,1,6,5,6,1,5,2,2,6,2,5,5,5,3,3,5,3,3,5,2,5,6,4,2,4,2,2,4,4,5,2,6,7,6,2,1,3,4,2,3,2,5,3,3,4,3,3,6,5,6,3,1,3,4,5,5,5,5,5,5,4,6,6,5,4,6,4,5,3,4,5,5,6,5,6,6,7,5,1,3,2,1,4,4,4,5,5,4,4,4,3,3,3,3,4,5,6,5,4,4,4,4,4,4,4,4,4,3,2,5,3,2,20,Punjabi,Criminology ,6,2,2,2,1,2
R_2tmvHa2ZUMOwCDt,Default Response Set,Anonymous,,,23.16.137.208,0,2017-09-28 1:08,2017-09-28 1:22,1,,,83586,1,33,1,5,6,5,4,4,3,3,2,2,7,2,2,1,2,4,3,6,3,2,2,5,5,2,4,2,3,3,2,5,2,5,5,5,2,2,5,7,2,2,2,4,2,6,5,5,3,3,3,2,6,1,2,2,4,4,6,7,5,5,4,5,5,4,5,5,5,4,1,3,3,6,5,5,5,4,4,2,2,2,2,2,6,3,3,4,2,4,3,1,4,3,5,5,5,5,7,4,7,4,4,4,3,3,2,6,5,5,3,7,5,2,20,Hispanic/ Caribbean,Undeclared ,4,2,2,3,1,2
R_1rApJFMMJAumpP8,Default Response Set,Anonymous,,,142.58.160.102,0,2017-09-28 10:27,2017-09-28 10:36,1,,,25234,1,73,1,4,4,5,2,5,3,4,3,2,5,4,4,4,3,6,3,4,4,3,4,5,4,2,4,4,3,4,5,5,3,6,5,5,2,2,6,6,4,4,5,5,6,4,5,2,4,5,6,6,5,1,2,4,4,4,3,6,6,4,5,6,5,5,4,5,4,6,4,4,4,5,6,7,6,4,5,4,4,6,5,3,4,4,1,5,2,5,2,5,5,4,4,5,4,3,5,4,5,5,4,3,4,3,4,5,5,5,3,4,2,2,20,italian,psyc,1,8,8,8,1,2
