V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q22,Q74_1,Q63,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q21,Q24,Q26,Q27,Q28,Q216_1,Q216_2,Q216_6,Q216_7,Q216_12,Q216_13,Q216_15,Q216_17,Q216_22,Q216_24,Q216_30,Q216_34,Q216_35,Q216_36,Q216_37,Q217,Q218_1,Q218_2,Q218_3,Q218_4,Q219_1,Q219_2,Q219_3,Q219_4,Q219_5,Q219_6,Q219_7,Q219_8,Q219_9,Q219_10,Q219_11,Q219_12,Q219_13,Q219_14,Q219_15,Q220_1,Q220_2,Q220_3,Q220_4,Q220_5,Q220_6,Q220_7,Q220_8,Q220_9,Q220_10,Q220_11,Q220_13,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q59_7,Q59_8,Q59_9,Q59_10,Q59_11,Q59_12,Q23_1,Q23_2,Q23_3,Q23_4,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q222_1,Q222_2,Q222_3,Q222_4,Q222_5,Q222_6,Q65,Q67,Q69,Q75,Q71,Q72,Q73,Q74,Q75,Q59,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Thank you for participating in our follow-up survey! Please enter your Survey Code here:,Thank you! Please click the next button to begin the survey.,How happy are you right now?-Happy,Please respond to each question below using the provided scales. ,1. People who are poor benefit from job training programs,2. People who are poor would rather work than be on welfare.,3. People who are poor often have a substance abuse problem,4. Poor children are treated the same as other children in school,5. People are poor because of things that happen to them,6. People who are poor have equal access to health care,7. Politicians care about people who are poor,8. Many people who are poor have a mental illness,9. People who are poor earn what they deserve,10. People who are poor attempt to get out of poverty,11. People who are poor have a problem with learning,12. People who are poor are more likely to be children,13. The business sector is concerned about people who are poor,14. People who are poor will fake illness rather than work,15. People who are poor are often ignored by everyone else,16. The government provides enough free substance abuse programs for people who are poor,17. People who are poor save money,18. Poor children have behaviour problems in school,19. The government does enough to help people who are poor,20. Many people who are poor lack social skills,21. People who are poor benefit from substance treatment programs,22. People are poor because they dropped out of school,23. People who are poor are a drain on health care,24. People are poor because of the choices they make,25. People who are poor get out of poverty by selling drugs,26. People who are poor have the same opportunities to succeed as other Canadians,27. Most people who are poor are adults,28. People who are poor spend their money on drugs or alcohol,29. People get out of poverty by succeeding in school,30. People who are poor do not work because they are lazy,Economic inequality is causing many of the worlds problems.,I am very disturbed by the amount of economic inequality in the world today.,We need to do everything possible to reduce economic inequality in the world today.,The negative consequences of economic inequality have been largely exaggerated.,Economic inequality is not a problem.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Some people are obese because their parents used to give them food with lots of sugar and fat in it.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-People get obese because they don't exercise very much.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-The parents of most obese people let them watch too much TV when they were children.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-People wouldn't get overweight if they stopped snacking between meals.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Obese people get obese because they like watching TV too much.,"Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Almost all obese people try really hard to lose weight, but they just can't.",Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-One big reason for getting obese is being lazy.,"Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-If obese people had more willpower, they would be able to stop eating so much.",Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Some people who are obese grew up in places where there are lots of adults who eat too much.,"Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-By joining weight loss groups, obese people can lose weight.",Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-People who are obese could be thinner if they really wanted.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Obese people have medical conditions that cause them to get overweight.,Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Most people who are obese inherited genes that cause obesity from their parents.,"Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-Obese people are ""stuck"" being obese, usually because of hormones they can't control.","Please rate your agreement with each of the following statements on the 1 to 7 scale provided below.-People get obese because in school, at work, and at home, they can get their hands on lots of fatty food.",Please indicate whether you agree with each of the statements below by choosing a number on the r...,"Please indicate whether you agree with each of the statements below by choosing a number on the r...-In general, wealthy people have worked harder than others","Please indicate whether you agree with each of the statements below by choosing a number on the r...-In general, wealthy people have been more skillful in making the best use of their opportunities","Please indicate whether you agree with each of the statements below by choosing a number on the r...-In general, wealthy people have been luckier than others","Please indicate whether you agree with each of the statements below by choosing a number on the r...-In general, wealthy people have received more help from others in the form of inheritances or gifts from their parents",Please rate how important you think each of the following factors are in determining a person's f...-Careful money management throughout life,Please rate how important you think each of the following factors are in determining a person's f...-Hard work and great effort,Please rate how important you think each of the following factors are in determining a person's f...-Being very intelligent,Please rate how important you think each of the following factors are in determining a person's f...-Being ruthless and determined,Please rate how important you think each of the following factors are in determining a person's f...-Very high wages in some business and trades,Please rate how important you think each of the following factors are in determining a person's f...-Being sent to certain schools and universities,Please rate how important you think each of the following factors are in determining a person's f...-Better opportunities for people from certain families,Please rate how important you think each of the following factors are in determining a person's f...-The taxation system,Please rate how important you think each of the following factors are in determining a person's f...-Strong trade unions that get higher wages,Please rate how important you think each of the following factors are in determining a person's f...-The economic system automatically creates inequality,Please rate how important you think each of the following factors are in determining a person's f...-Society rewards those who work hard and take risks,Please rate how important you think each of the following factors are in determining a person's f...-Inheriting money from parents or relatives,Please rate how important you think each of the following factors are in determining a person's f...-Good luck in winning money at gambling,Please rate how important you think each of the following factors are in determining a person's f...-Having a lucky break,Please rate how important you think each of the following factors are in determining a person's f...-Being born with a good business sense,Please rate how much you agree or disagree with each of the following statements regarding why so...-At the root of much crime are early family problems,Please rate how much you agree or disagree with each of the following statements regarding why so...-Drugs are a factor in many crimes,Please rate how much you agree or disagree with each of the following statements regarding why so...-Drugs and alcohol cause crime because people can no longer control their behavior,Please rate how much you agree or disagree with each of the following statements regarding why so...-Poverty and inequality in society are responsible for much of crime,Please rate how much you agree or disagree with each of the following statements regarding why so...-Many crimes are more the result of flaws in society than any basic criminality in the offender,Please rate how much you agree or disagree with each of the following statements regarding why so...-People who commit crimes are usually forced to by the situations they find themselves in,Please rate how much you agree or disagree with each of the following statements regarding why so...-Equitable distributions of wealth in society is the only way we can eliminate crime,Please rate how much you agree or disagree with each of the following statements regarding why so...-People who are too lazy turn to crime,Please rate how much you agree or disagree with each of the following statements regarding why so...-Most criminals deliberately choose to prey on society,Please rate how much you agree or disagree with each of the following statements regarding why so...-Criminals are people who don't care about the rights of others or their responsibility to society,"Please rate how much you agree or disagree with each of the following statements regarding why so...-Once a criminal, always a criminal",Please rate how much you agree or disagree with each of the following statements regarding why so...-People learn to be criminal from associating with people who are criminal,Please indicate how important you think the contribution you think each of the following factors...-Inheritance,Please indicate how important you think the contribution you think each of the following factors...-Political Influence,Please indicate how important you think the contribution you think each of the following factors...-Economic Structure of Society,Please indicate how important you think the contribution you think each of the following factors...-Personal Background,Please indicate how important you think the contribution you think each of the following factors...-Educational Opportunity,Please indicate how important you think the contribution you think each of the following factors...-Wages,Please indicate how important you think the contribution you think each of the following factors...-Prejudice and Discrimination,Please indicate how important you think the contribution you think each of the following factors...-Ambition,Please indicate how important you think the contribution you think each of the following factors...-Ability and Talent,Please indicate how important you think the contribution you think each of the following factors...-Hard Work,Please indicate how important you think the contribution you think each of the following factors...-Effort,Please indicate how important you think the contribution you think each of the following factors...-Money Management,"Please answer the following questions according to the scale below.-How much, if anything, should the government do to reduce poverty?","Please answer the following questions according to the scale below.-How much, if anything, should the government do to reduce the gap between the rich and everyone else?",Please answer the following questions according to the scale below.-How much do you think government policies and programs can do to reduce poverty in this country?,Please answer the following questions according to the scale below.-How much do you think government policies and programs can do to reduce the gap between the rich and everyone else in this country?,Please rate your agreement with each of the following statements on the scale provided.-People who work hard do achieve success,Please rate your agreement with each of the following statements on the scale provided.-If people work hard they do get what they want,"Please rate your agreement with each of the following statements on the scale provided.-With hard work, ethnic minorities are able to climb the ladder of success just as much as Whites",Please rate your agreement with each of the following statements on the scale provided.-Discrimination does not prevent minority groups from getting ahead if they work hard,Please rate your agreement with each of the following statements on the scale provided.-Canada is an open society where all individuals do achieve higher status through hard work,Please rate your agreement with each of the following statements on the scale provided.-Advancement in Canadian society is equally possible for all individuals,"Please read each of the following scenarios about another person, referred to here as person X, a...-Person X meets a new friend who compliments them on their appearance","Please read each of the following scenarios about another person, referred to here as person X, a...-Person X does a project that is highly praised","Please read each of the following scenarios about another person, referred to here as person X, a...-Person X's spouse has been treating them more lovingly","Please read each of the following scenarios about another person, referred to here as person X, a...-A friend comes to Person X with a problem and Person X doesn't try to help","Please read each of the following scenarios about another person, referred to here as person X, a...-Person X meets a friend who acts hostile towards them","Please read each of the following scenarios about another person, referred to here as person X, a...-Person X goes on a date and it goes badly",Are you:,How old are you?,What is your ethnicity?,What is your Major?,What is your household income?,"When it comes to politics, do you usually think of yourself as liberal, moderate, conservative, o...","In general, how liberal (left-wing) or conservative (right-wing) are you on social issues?","In general, how liberal (left-wing) or conservative (right-wing) are you on economic issues?",Would you most closely identify as a:, Debriefing Form for Social Experiences [2016s0663] Version Date: 08/11/2017  Principal investiga...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_002izGJKZ3zfpuh,Default Response Set,Anonymous,,,142.58.218.185,0,2017-09-27 10:22:06,2017-09-27 10:34:06,1,38589,1,92,1,4,4,3,3,3,2,2,3,1,5,2,4,2,2,4,4,2,4,6,4,5,2,1,3,2,2,4,3,5,2,6,6,6,2,2,6,2,1,2,1,5,2,1,1,4,4,6,5,3,5,1,4,4,3,3,6,6,5,1,6,4,5,5,2,6,5,4,1,2,1,6,2,2,2,6,6,4,3,1,3,1,5,3,5,5,3,3,3,4,2,2,3,4,4,4,4,2,2,5,5,7,2,5,2,4,5,4,3,3,3,2,25,Caucasian,Psychology,4,2,2,2,1,1,49.264007568359,-122.93690490723,-1,
R_VI7AN5QrSfuj9jH,Default Response Set,Anonymous,,,142.58.80.195,0,2017-09-27 12:13:41,2017-09-27 12:23:57,1,69804,1,80,1,5,3,6,2,5,4,4,5,3,3,5,4,3,5,5,4,1,5,3,6,2,5,4,6,2,2,5,5,5,5,4,4,4,4,3,5,5,3,2,3,5,5,5,3,5,5,6,6,5,3,1,2,3,3,4,7,7,7,7,5,7,5,4,6,3,6,5,2,6,5,6,7,7,7,2,2,4,3,7,6,5,6,4,5,5,2,3,4,4,3,4,5,5,2,4,1,3,1,7,6,2,1,6,3,7,7,5,3,5,3,2,18,Caucasian,Criminology,10,4,4,4,1,1,49.264007568359,-122.93690490723,-1,
R_1pywSg1Hr2BHl9b,Default Response Set,Anonymous,,,207.23.192.251,0,2017-09-27 13:28:25,2017-09-27 13:44:41,1,66715,1,73,1,7,6,4,2,4,3,3,4,2,6,2,6,4,1,5,2,5,2,2,2,7,3,2,2,2,2,3,4,5,1,5,7,6,2,1,5,3,2,3,1,5,2,2,5,5,2,6,5,5,5,1,2,2,4,5,4,4,5,3,5,7,7,5,4,6,5,7,2,4,5,5,4,5,6,6,6,5,2,2,2,1,5,5,4,5,4,5,4,4,3,3,3,3,3,4,4,4,4,5,4,1,1,2,1,5,4,4,3,2,3,2,21,First Nations (Nlaka'pamux) and Miqmac,Molecular Biology and Biochemistry,10,1,1,1,4,1,49.264007568359,-122.93690490723,-1,
R_2QGkMIHaPfNTO5t,Default Response Set,Anonymous,,,207.23.222.164,0,2017-09-27 15:43:27,2017-09-27 15:54:56,1,76501,1,50,1,4,5,2,3,4,3,3,3,2,5,3,2,2,3,5,2,4,3,2,3,4,3,3,4,2,2,5,2,3,2,5,5,5,3,1,2,2,2,2,2,5,2,2,4,3,2,5,5,6,2,1,2,4,5,4,5,4,5,5,6,4,5,5,5,6,5,7,7,7,5,4,4,5,4,4,5,3,2,7,7,3,4,5,4,4,5,3,4,4,3,3,3,3,4,4,4,2,2,4,4,3,2,4,4,2,3,3,3,2,4,2,19,Chinese,Science,3,8,8,8,4,1,49.264007568359,-122.93690490723,-1,
R_2bOCNs5ByJm2Zuh,Default Response Set,Anonymous,,,142.58.132.19,0,2017-09-27 17:08:27,2017-09-27 17:17:08,1,95837,1,30,1,4,4,2,2,6,2,2,5,2,5,5,2,2,4,6,3,3,4,2,5,6,3,3,5,2,2,5,5,2,2,4,4,3,2,3,5,5,2,4,2,5,4,3,2,6,5,5,5,5,5,1,4,4,4,3,5,2,4,4,5,2,5,5,3,3,4,6,5,4,6,5,4,6,4,5,4,5,3,4,5,4,3,3,3,4,3,4,3,2,3,3,4,3,4,3,3,2,2,5,4,2,2,4,3,4,6,6,3,5,5,1,22,,economic,,3,3,4,1,1,49.264007568359,-122.93690490723,-1,
R_BE2hz1bOt8Ijo2d,Default Response Set,Anonymous,,,69.172.152.13,0,2017-09-27 21:15:19,2017-09-27 21:35:22,1,66177,1,50,1,4,4,3,4,4,7,4,3,4,5,2,4,4,3,4,4,4,4,4,5,4,3,1,5,3,4,4,4,5,4,4,4,4,4,4,5,5,4,4,3,4,4,5,5,5,4,4,4,4,4,1,3,3,3,4,5,7,7,6,4,4,5,4,4,4,6,4,1,1,3,5,4,5,5,4,5,4,4,4,4,3,5,3,3,3,3,4,3,3,5,5,5,5,4,3,2,2,2,5,5,4,3,5,3,5,5,5,4,4,4,1,20,Asian,Biological Physics,1,8,8,8,4,1,49.232696533203,-123.09170532227,-1,
R_1r0b5YO0h2wJCAW,Default Response Set,Anonymous,,,70.71.194.231,0,2017-09-27 23:07:57,2017-09-27 23:19:26,1,90523,1,30,1,6,6,5,2,6,2,2,6,3,6,3,2,1,1,6,2,6,4,2,4,6,4,6,5,3,1,5,5,6,2,6,6,5,2,2,6,6,5,5,5,2,5,6,5,6,6,5,5,2,6,1,3,4,4,5,6,4,6,6,6,7,7,4,6,5,6,7,7,6,6,6,6,6,6,6,7,4,2,4,3,3,5,5,4,5,5,4,4,3,4,4,4,3,4,4,3,4,3,4,4,3,2,3,3,4,7,4,6,3,4,2,17,white,criminology ,15,4,4,4,1,1,49.194793701172,-122.81309509277,-1,
R_2QljVR76mj5urdw,Default Response Set,Anonymous,,,207.6.70.74,0,2017-09-27 23:18:02,2017-09-27 23:36:40,1,83309,1,83,1,6,5,6,1,5,2,2,6,2,5,5,5,3,3,5,3,3,5,2,5,6,4,2,4,2,2,4,4,5,2,6,7,6,2,1,3,4,2,3,2,5,3,3,4,3,3,6,5,6,3,1,3,4,5,5,5,5,5,5,4,6,6,5,4,6,4,5,3,4,5,5,6,5,6,6,7,5,1,3,2,1,4,4,4,5,5,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,2,5,3,5,6,5,4,4,4,2,20,Punjabi,Criminology ,6,2,2,2,1,1,49.194793701172,-122.81309509277,-1,
R_2tmvHa2ZUMOwCDt,Default Response Set,Anonymous,,,23.16.137.208,0,2017-09-28 01:08:17,2017-09-28 01:22:19,1,83586,1,33,1,5,6,5,4,4,3,3,2,2,7,2,2,1,2,4,3,6,3,2,2,5,5,2,4,2,3,3,2,5,2,5,5,5,2,2,5,7,2,2,2,4,2,6,5,5,3,3,3,2,6,1,2,2,4,4,6,7,5,5,4,5,5,4,5,5,5,4,1,3,3,6,5,5,5,4,4,2,2,2,2,2,6,3,3,4,2,4,3,1,4,3,5,5,5,4,3,3,2,6,5,5,3,7,5,5,7,4,7,4,4,2,20,Hispanic/ Caribbean,Undeclared ,4,2,2,3,1,1,49.170700073242,-122.73260498047,-1,
